MOV;0000
ADD;0001
SUB;0010
CMP;0011
AND;0100
OR;0101
XOR;0110
CLR;1000000000
NEG;1000000001
INC;1000000010
DEC;1000000011
ASL;1000000100
ASR;1000000101
LSR;1000000110
ROL;1000000111
ROR;1000001000
RLC;1000001001
RRC;1000001010
JMP;1000001011
CALL;1000001100
PUSH;1000001101
POP;1000001110
BR;10100000
BNE;10100001
BEQ;10100010
BPL;10100011
BMI;10100100
BCS;10100101
BCC;10100110
BVS;10100111
BVC;10101000
CLC;1110000000000000
CLV;1110000000000001
CLZ;1110000000000010
CLS;1110000000000011
CCC;1110000000000100
SEC;1110000000000101
SEV;1110000000000110
SEZ;1110000000000111
SES;1110000000001000
SCC;1110000000001001
NOP;1110000000001010
RET;1110000000001011
RETI;1110000000001100
HALT;1110000000001101
WAIT;1110000000001110
PUSHPC;1110000000001111
POP PC;1110000000010000
PUSH FLAG;1110000000010001
POP FLAG;1110000000010010
